variable,transformacion_aplicada,tipo_test_aplicado,iv,auc_abs,poder_predictivo,observaciones_generales
l_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.015689087421364885,0.5044022043051766,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
f_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.00992766168711399,0.5038408900754641,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
m_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.009203080526657201,0.5037439889326768,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
fecha_hour_sin,Codificación cíclica de hora (seno),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.5035960356442022,casi aleatoria,Descartable; efecto (Cohen's d) despreciable
fecha_is_weekend,Extracción de indicador de fin de semana,"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.00021855200710611583,0.5030558579941439,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
e_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.002425492548980117,0.5026665559615346,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
b_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.0021768649286379163,0.5014783569380903,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
h_top1pct,Percentile flag (top 1%),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.000773920594165478,0.5013465761467606,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
m_missing,Missing indicator (flag de nulo),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.001626524958895902,0.5012062849722521,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
d_missing,Missing indicator (flag de nulo),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.001626524958895902,0.5012062849722521,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
g_missing,Missing indicator (flag de nulo),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.0002718711963654566,0.5002477776832712,casi aleatoria,Descartable; efecto (V de Cramér) despreciable
f_missing,Missing indicator (flag de nulo),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",5.427341050381077e-06,0.5000552547242789,casi aleatoria,Revisar antes de decidir (inestabilidad numérica); efecto (V de Cramér) despreciable; inestabilidad numérica en el ajuste logístico
l_missing,Missing indicator (flag de nulo),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",5.427341050381077e-06,0.5000552547242789,casi aleatoria,Revisar antes de decidir (inestabilidad numérica); efecto (V de Cramér) despreciable; inestabilidad numérica en el ajuste logístico
